Business Name,Phone #,Phone # 2,Web Address,Business Catagory
VanEvery Media - Writer,(519) 771-5681,,,Media
Woodland Cultural Centre,(519) 759-2650,,www.woodlandculturalcentre.ca,Museums
G.S. Distributing,(519) 771-2281,,,Nevada Tickets
THE O I GROUP,1-800-668-9852,(519) 752-2230,www.oigroup.ca,Payroll/HR Support
Pharmasave,(519) 445-4471,,www.pharmasave.com,Pharmacy
Brenda Mitten Photography,(519) 732-4587,,,Photography
Canada Post,(519) 445-2890,,,Post Office
MTS Native Services,(519) 445-0356,,www.mtsnativeservices.ca,Printing
O.H. Multimedia,(519) 732-1452,,www.ohmultimedia.com,Printing
Diamond Graphix,(289) 682-9165,(905) 518-6195,www.diamondgraphix.ca,Promotional Products
G & M Promotional Products,(519) 445-0215,,,Promotional Products/Embroidery
J.D.S. Embroidery,(519) 751-5254,,,Promotional Products/Embroidery
Jake Thomas Learning Centre,(519) 445-0779,,www.jakethomaslearningcentre.ca,Research
Bearpaw Coffee,(519) 445-0259,,,Restaurants
Big Pete's Steakhouse,(905) 765-4340,,www.bigpetes.ca,Restaurants
Burger Barn,(519) 445-0088,,www.burgerbarn.ca,Restaurants
Dixieland Grill,(519) 445-5263,,www.dixielandgrill.com,Restaurants
Erlind's Restaurant,(519) 445-4520,,,Restaurants
Gillies,(519) 770-3514,,,Restaurants
Hill's Snack Bar,(905) 765-1331,,,Restaurants
Kennedy's Diner @ Hanks Place,(519) 445-0431,,,Restaurants
Little Mikey's Snack Shack,(519) 445-0007,,,Restaurants
Lone Wolf Coffee - Hwy 54,(519) 770-4540,,,Restaurants
Lone Wolf Coffee - Townline,(905) 768-9141,,,Restaurants
Maracle Man's Delivery & Take-Out,(519) 445-4949,,https://maraclemans.ca/menu/,Restaurants
MJ's Diner & Catering Service,(905) 768-3916,,,Restaurants
Momz BBQ,(519) 445-1824,,,Restaurants
Pro Foods,(905) 765-1210,,,Restaurants
Rolling Smokehouse,(905) 768-7264,(905) 768-5775,,Restaurants
Sade:konih,(519) 761-1200,,,Restaurants
Tay's Tea House,(519) 732-4454,(519) 445-2671,,Restaurants
The Drinkin' Box Drive Thru,(519) 865-6524,,,Restaurants
Tim Hortons,(519) 756-6415,,,Restaurants
Tim Hortons,(519) 445-4334,,,Restaurants
Village Café,(519) 445-0555,,,Restaurants
Village Pizza & Wings,(519) 445-0396,,,Restaurants
Yawè:kon by Chef Tawnya Brant,(519) 445-4704,,www.cheftawnyabrant.com,Restaurants
Deli Delights,(519) 445-4031,,,Retail
Forrest Pet Foods,(519) 753-8859,,https://forrestpetfoods.etailpet.com/,Retail
GOTribalwear,(519) 861-9730,,www.facebook.com/GOTribalwear,Retail
Grand Passage Outlet,(519) 445-4545,,www.grandpassageoutlet.ca,Retail
Healthy & Hearty Mini Market,(519) 727-0862,,,Retail
Just a Little Bit Store,(519) 445-4466,,,Retail
Office Tech,(519) 445-4031,,,Retail
Reeseco,(226) 387-4690,(519) 717-4684,,Retail
T & A Retail,(519) 754-7332,(519) 751-9227,,Retail
Saving Our Stories - Close to My Heart -Consultant,(519) 717-5147,,www.micheleking.closetomyheart.ca,Scrapbooking Supplies
Vision Artworks,(905) 768-9383,(905) 517-5491,www.visionartworks.ca,Screen Printing
Cat's Quilting (& Crafts),(519) 445-2662,,,Sewing Alterations
Secord's Craft Shop,(905) 768-9310,(905) 768-5713,,Sewing Alterations
OSTTC (Ogwehoweh Skills and Trades Training Ctr.),(519) 445-1515,(519) 732-9271,www.osttc.com,Skills & Training
Harris Snowsnake Maker,(519) 774-8882,(519) 774-1819,,Sporting Goods
I.L.A. Sports,(905) 768-9199,,www.aeslacrosse.com,Sporting Goods
Kashmir Skateboards,,,,Sporting Goods
TAIR Recruitment Inc.,(785) 342-3927,,www.tair.group,Talent Agency
Unique Talent Agency,(519) 717-9099,,,Talent Agency
Shirley Watson Income Tax Service,(905) 768-3725,,,Tax Services
The Albert Group,(519) 445-1555,,,Tax Services
Chiefswood National Historic Site,(519) 732-6125,,www.chiefswoodnhs.ca,Tourism
Mohawk Village Memorial Park,(519) 750-4455,(519) 445-2579,www.mohawkvillagepark.com,Tourism
Six Nations Tourism,(519) 758-5444,1-866-393-3001,www.sixnationstourism.ca,Tourism
Mohawk Towing,(519) 445-1786,,,Towing Services
Steve's Towing - 24Hr Towing,(519) 445-0182,,,Towing Services
Taylor's Towing,(519) 445-1600,,,Towing Services
Six Nations Taxi and Delivery,(519) 865-8294,,,Transportation/Taxi Service
Modern Travel,(519) 757-5018,,,Travel Services
Six Nations Community Development Trust,(905) 765-1236,,www.sncomtrust.ca,Trusts
Six Nations Of The Grand River Economic Dev. Trust,(519) 753-1950,,www.sixnationsedt.ca,Trusts
Six Nations Natural Gas,(519) 445-4213,,www.sixnatgas.com,Utility Company
Aces Convenience,(519) 445-1559,,,Variety Stores
BearPaw Convenience Plus,(519) 445-1717,,,Variety Stores
Big Six,(519) 445-4796,,,Variety Stores
Bowhunter Brothers Convenience,(905) 768-2915,,,Variety Stores
Doolittle Variety,(905) 768-5537,,,Variety Stores
Grandview Variety,(519) 751-0668,,,Variety Stores
Hanks Place,(519) 445-0431,,,Variety Stores
Herk's Variety,(289) 456-6910,,,Variety Stores
Konvenience Plus,(519) 720-0154,,,Variety Stores
Little Buffalo Variety Store,(905) 768-3123,,,Variety Stores
V.I.P. Variety,(519) 756-6767,,,Variety Stores
R.C. Vending,(519) 445-2636,,,Vending Machine
Isabel's Garbage and Recycling Pick Up,(905) 768-1882,,,Waste Management
ASAP Water Haulage,(519) 445-4848,,,Water Haulage
Wilson Water,(519) 443-6806,,,Water Haulage
Kool Kidz Ice & Water,(519) 445-0292,,www.koolkidzice.com,Water-Bottled
Ever Deadly,(647) 235-4013,,www.everdeadly.ca,Web Design
All Natural Frozen Beef and Compost,(519) 445-0942,(519) 761-0942,,Wholesalers
Giizhigat Maple Products,(226) 802-1265,(519) 445-4885,www.giizhigatmapleproducts.ca,Wholesalers
Jessyn Design & Jewelry,(226) 388-3238,,,Wholesalers
OTE Original Trades Energy,(519) 512-2245,,www.originaltradersenergy.com,Wholesalers
Skye's Corn,(905) 765-5050,,,Wholesalers
Hill's Custom Woodworking,(519) 445-2105,,,Woodworking
Re-Created Gems - Furniture Refinishing,(519) 761-8184,,,Woodworking
